Car Name,Image,Fuel Type,Fuel Tank Capacity,Seating Capacity,Body Type,Tansmission Type
Chevrolet Beat,chevrolet_beat.jpg,Petrol,35,5,Hatchback,Manual
Chevrolet Cruze,chevrolet_cruze.jpg,Diesel,60,5,Sedan,Manual
Chevrolet Enjoy,chevrolet_enjoy.jpg,Petrol,50,7,MUV,Manual
Chevrolet Sail U-VA,chevrolet_sail_u-va.jpg,Petrol,42,5,Hatchback,Manual
Chevrolet Spark,chevrolet_spark.jpg,Petrol,38,5,Hatchback,Manual
Chevrolet Tavera Neo 3,chevrolet_tavera_neo_3.jpg,Diesel,55,10,MUV,Manual
Datsun Redi-Go,datsun_redi-go.jpg,Petrol,28,5,Hatchback,Automatic
Fiat Grande Punto,fiat_grande_punto.jpg,Petrol,45,5,Hatchback,Manual
Fiat Linea,fiat_linea.jpg,Petrol,45,5,Sedan,Manual
Fiat Punto Evo,fiat_punto_evo.jpg,Petrol,45,5,Hatchback,Manual
Force One,force_one.jpg,Diesel,70,7,SUV,Manual
Ford EcoSport,ford_ecosport.jpg,Diesel/Petrol,52,5,SUV,Manual
Ford Endeavour,ford_endeavour.jpg,Diesel,80,7,SUV,Automatic
Ford Figo 2015,ford_figo_2015.jpg,Petrol/Diesel,45,5,Hatchback,Manual
Ford Figo Aspire,ford_figo_aspire.jpg,Diesel,40,5,Sedan,Manual
Honda Accord,honda_accord.jpg,Petrol,60,5,Hybrid,Automatic
Honda Amaze,honda_amaze.jpg,Diesel,35,5,Sedan,Automatic
Honda Brio,honda_brio.jpg,Petrol,35,5,Hatchback,Manual/Automatic
Honda City,honda_city.jpg,Diesel,40,5,Sedan,Manual
Honda Jazz,honda_jazz.jpg,Petrol,40,5,Hatchback,Automatic
Hyundai Creta,hyundai_creta.jpg,Diesel,50,5,SUV,Automatic
Hyundai Elantra,hyundai_elantra.jpg,Diesel,50,5,Sedan,Automatic
Hyundai Elite i20,hyundai_elite_i20.jpg,Petrol,37,5,Hatchback,Automatic
Hyundai Eon,hyundai_eon.jpg,Petrol/LPG,32,5,Hatchback,Manual
Hyundai Fluidic Verna,hyundai_fluidic_verna.jpg,Diesel/Petrol,45,5,Sedan,Automatic
Hyundai Grand i10,hyundai_grand_i10.jpg,Petrol,43,5,Hatchback,Manual
