Car Name,Image,Fuel Type,Fuel Tank Capacity,Seating Capacity,Body Type,Transmission Type
AM General Hummer SUV 2000,07684.jpg,Diesel,159,2 to 4,Convertible,Automatic
Acura Integra Type R 2001,00198.jpg,Petrol,50,5,,Manual 
Acura RL Sedan 2012,01034.jpg,Gas,74,5,Sedan,Automatic
Acura TL Sedan 2012,06974.jpg,Gas,70,5,Sedan,Automatic
Acura TL Type-S 2008,03238.jpg,Gas,65,5,Sedan,Manual 
Acura TSX Sedan 2012,04484.jpg,Gas,70,5,Sedan,Automatic
Acura ZDX Hatchback 2012,01105.jpg,Gas,80,5,Hatchback,Automatic
Aston Martin V8 Vantage Convertible 2012,04186.jpg,Gas,80,2,Convertible,Automatic/Manual
Aston Martin V8 Vantage Coupe 2012,00503.jpg,Petrol/Gas,80,2,Coupe,Manual 
Aston Martin Virage Convertible 2012,05366.jpg,Gas,78,4,Convertible,Automatic
Aston Martin Virage Coupe 2012,03208.jpg,Gas,78,4,Coupe,Automatic
Audi 100 Sedan 1994,02887.jpg,Gas,80,5,Sedan,Manual/Automatic
Audi 100 Wagon 1994,03435.jpg,Gas,80,5,Sedan,Automatic
Audi A5 Coupe 2012,07976.jpg,Gas,64,4,Coupe,Manual 
Audi R8 Coupe 2012,03139.jpg,Gas,90,2,Coupe,Manual 
Audi RS 4 Convertible 2008,04497.jpg,Gas,63,4,Convertible,Manual 
Audi S4 Sedan 2007,06565.jpg,nill,63,5,Sedan,Manual 
Audi S4 Sedan 2012,01848.jpg,Petrol/Gas,64,5,Sedan,Automatic/Manual
Audi S5 Convertible 2012,05482.jpg,Gas,64,5,Convertible,Automatic/Manual
Audi S5 Coupe 2012,06581.jpg,Gas,64,4,Coupe,Automatic
Audi S6 Sedan 2011,00772.jpg,Gas,80,5,Sedan,Automatic
Audi TT Hatchback 2011,00723.jpg,Gas,15.9,4,Hatchback,Manual 
Audi TT RS Coupe 2012,03019.jpg,Gas,60,4,Coupe,Manual 
Audi TTS Coupe 2012,00017.jpg,Gas,60,4,Coupe,Manual
Audi V8 Sedan 1994,02304.jpg,Gas,80,5,Sedan,Automatic
BMW 1 Series Convertible 2012,07524.jpg,Gas,53,4,Convertible,Manual
BMW 1 Series Coupe 2012,02772.jpg,Diesel,51,4,Coupe,Manual/Automatic
BMW 3 Series Sedan 2012,07841.jpg,Petrol/Diesel,60,5,Sedan,Automatic
BMW 3 Series Wagon 2012,02087.jpg,Gas,60,5,Wagon,Manual
BMW 6 Series Convertible 2007,03716.jpg,Gas,70,4,Convertible,Manual
BMW ActiveHybrid 5 Sedan 2012,04089.jpg,Petrol,67,5,Sedan,Automatic
BMW M3 Coupe 2012,04760.jpg,Gas,63,4,Coupe,Manual
BMW M5 Sedan 2010,00792.jpg,Gas,70,5,Sedan,Automatic
BMW M6 Convertible 2010,02774.jpg,Gas,70,4,Convertible,Automatic
BMW X3 SUV 2012,06997.jpg,Petrol,67,5,SUV,Automatic
BMW X5 SUV 2007,06559.jpg,Diesel,85,5,SUV,Automatic
BMW X6 SUV 2012,05685.jpg,Petrol,85,4,SUV,Automatic
BMW Z4 Convertible 2012,07709.jpg,Gas,55,2,Convertible,Manual
Bentley Arnage Sedan 2009,01284.jpg,Petrol,96,5,Sedan,Automatic
Bentley Continental Flying Spur Sedan 2007,02231.jpg,Gas,90,5,Sedan,Automatic
Bentley Continental GT Coupe 2007,04449.jpg,Gas,90,5,Coupe,Automatic
Bentley Continental GT Coupe 2012,01401.jpg,Gas,87,4,Coupe,Automatic
Bentley Continental Supersports Conv. Convertible 2012,05310.jpg,Gas,90,4,Convertible,Automatic
Bentley Mulsanne Sedan 2011,02718.jpg,Gas,96,4,Sedan,Automatic
Bugatti Veyron 16.4 Convertible 2009,05203.jpg,Gas,100,2,Convertible,Automatic
Bugatti Veyron 16.4 Coupe 2009,07635.jpg,Gas,100,2,Coupe,Automatic
Buick Enclave SUV 2012,05997.jpg,Gas,83,7,SUV,Automatic
Buick Rainier SUV 2007,00193.jpg,Gas,83,5,SUV,Automatic
Buick Regal GS 2012,02988.jpg,Gas,70,5,Sedan,Manual
Buick Verano Sedan 2012,04366.jpg,Gas,58,5,Sedan,Automatic
Cadillac CTS-V Sedan 2012,07086.jpg,Gas,68,5,Sedan,Automatic
Cadillac Escalade EXT Crew Cab 2007,06566.jpg,Gas,117,5,Crew Cab,Automatic
Cadillac SRX SUV 2012,00866.jpg,Gas,80,5,SUV,Automatic
Chevrolet Avalanche Crew Cab 2012,05639.jpg,Gas,117,5,Crew Cab,Automatic
Chevrolet Camaro Convertible 2012,00607.jpg,Gas,71,4,Convertible,Manual
Chevrolet Cobalt SS 2010,04452.jpg,Gas,49,4,Sedan,Manual
Chevrolet Corvette Convertible 2012,00738.jpg,Gas,68,2,Convertible,Manual
Chevrolet Corvette Ron Fellows Edition Z06 2007,04437.jpg,Gas,68,2,Ron Fellow,Manual
Chevrolet Corvette ZR1 2012,02994.jpg,Gas,68,2,Hatchback,Manual
Chevrolet Express Cargo Van 2007,04189.jpg,Gas,117,12,Van,Automatic
Chevrolet Express Van 2007,06856.jpg,Gas,117,12,Van,Automatic
Chevrolet HHR SS 2010,05218.jpg,Gas,60,5,SS,Manual
Chevrolet Impala Sedan 2007,00103.jpg,Gas,64,5,Sedan,Automatic
Chevrolet Malibu Hybrid Sedan 2010,07713.jpg,Gas,60,5,Sedan,Automatic
Chevrolet Malibu Sedan 2007,04221.jpg,Gas,60,5,Sedan,Automatic
Chevrolet Monte Carlo Coupe 2007,02927.jpg,Gas,64,5,Coupe,Automatic
Chevrolet Silverado 1500 Classic Extended Cab 2007,02034.jpg,Gas,98,6,Crew Cab,Automatic
Chevrolet Silverado 1500 Extended Cab 2012,07328.jpg,Gas,117,6,Crew Cab,Automatic
Chevrolet Silverado 1500 Hybrid Crew Cab 2012,00174.jpg,Gas,98,6,Crew Cab,Automatic
Chevrolet Silverado 1500 Regular Cab 2012,02934.jpg,Gas,98,6,Crew Cab,Automatic
Chevrolet Silverado 2500HD Regular Cab 2012,05222.jpg,Gas,136,6,Crew Cab,Automatic
Chevrolet Sonic Sedan 2012,04321.jpg,Gas,47,5,Sedan,Automatic
Chevrolet Tahoe Hybrid SUV 2012,02883.jpg,Gas,94,8,SUV,Automatic
Chevrolet TrailBlazer SS 2009,04249.jpg,Gas,83,5,SS,Automatic
Chevrolet Traverse SUV 2012,00307.jpg,Gas,83,8,SUV,Automatic
Chrysler 300 SRT-8 2010,05628.jpg,Gas,71,5,Sedan,Automatic
Chrysler Aspen SUV 2009,06157.jpg,Gas,102,8,SUV,Automatic
Chrysler Crossfire Convertible 2008,04204.jpg,Gas,60,2,Convertible,Manual
Chrysler PT Cruiser Convertible 2008,06657.jpg,Gas,56,4,Convertible,Manual
Chrysler Sebring Convertible 2010,06147.jpg,Gas,64,4,Convertible,Automatic
Chrysler Town and Country Minivan 2012,00877.jpg,Gas,76,7,Minivan,Automatic
Daewoo Nubira Wagon 2002,02639.jpg,Gas,52,5,Wagon,Manual
Dodge Caliber Wagon 2007,04069.jpg,Gas,51,5,Wagon,Manual
Dodge Caliber Wagon 2012,03460.jpg,Gas,102,5,Wagon,Manual
Dodge Caravan Minivan 1997,05888.jpg,Gas,76,5,Minivan,Automatic
Dodge Challenger SRT8 2011,00469.jpg,Gas,74,5,SRT8,Automatic
Dodge Charger SRT-8 2009,03522.jpg,Gas,72,5,SRT8,Automatic
Dodge Charger Sedan 2012,00008.jpg,Gas,72,5,Sedan,Automatic
Dodge Dakota Club Cab 2007,00003.jpg,Gas,83,5,Club Cab,Manual
Dodge Dakota Crew Cab 2010,01212.jpg,Gas,83,4,Crew Cab,Automatic
Dodge Durango SUV 2007,03110.jpg,Gas,102,7,SUV,Automatic
Dodge Durango SUV 2012,05847.jpg,Gas,93,7,SUV,Automatic
Dodge Journey SUV 2012,00349.jpg,Gas,78,5,SUV,Automatic
Dodge Magnum Wagon 2008,05142.jpg,Gas,68,5,Wagon,Automatic
Dodge Ram Pickup 3500 Crew Cab 2010,02494.jpg,Diesel,132,6,Crew Cab,Manual
Dodge Ram Pickup 3500 Quad Cab 2009,06261.jpg,Diesel,132,6,Quad Cab,Manual
Dodge Sprinter Cargo Van 2009,01311.jpg,Gas,95,2,Van,Automatic
Eagle Talon Hatchback 1998,00616.jpg,Gas,64,4,Hatchback,Manual
FIAT 500 Abarth 2012,05709.jpg,Gas,40,4,Hatchback,Manual
FIAT 500 Convertible 2012,05239.jpg,Gas,40,4,Convertible,Manual
Ferrari 458 Italia Convertible 2012,00801.jpg,Gas,86,2,Convertible,Automatic
Ferrari 458 Italia Coupe 2012,07163.jpg,Petrol/Gas,86,2,Coupe,Automatic
Ferrari California Convertible 2012,03978.jpg,Petrol/Gas,70,2,Convertible,Automatic
Ferrari FF Coupe 2012,06031.jpg,Petrol/Gas,78,4,Coupe,Automatic
Fisker Karma Sedan 2012,00283.jpg,Electric,36,4,Sedan,Automatic
Ford E-Series Wagon Van 2012,05862.jpg,Flex-fuel,132,15,van,Automatic
Ford Edge SUV 2012,01448.jpg,Gas,72,5,SUV,Automatic
Ford Expedition EL SUV 2009,04034.jpg,Flex-fuel,127,8,SUV,Automatic
Ford F-150 Regular Cab 2007,02588.jpg,Gas,102,3,Cab,Manual
Ford F-150 Regular Cab 2012,04164.jpg,Gas,136,5,Cab,Automatic
Ford F-450 Super Duty Crew Cab 2012,06228.jpg,Diesel,142,5,Crew Cab,Automatic
Ford Fiesta Sedan 2012,06382.jpg,Petrol,43,5,Sedan,Manual
Ford Focus Sedan 2007,01724.jpg,Gas,53,5,Sedan,Manual
Ford Freestar Minivan 2007,04000.jpg,Gas,98,7,Minivan,Automatic
Ford GT Coupe 2006,02573.jpg,Gas,66,2,Coupe,Manual
Ford Mustang Convertible 2007,04236.jpg,Gas,61,4,Convertible,Manual
Ford Ranger SuperCab 2011,00235.jpg,Gas,64,3,Cab,Manual
GMC Acadia SUV 2012,04518.jpg,Gas,83,7,SUV,Automatic
GMC Canyon Extended Cab 2012,03166.jpg,Gas,72,5,Cab,Automatic
GMC Savana Van 2012,02290.jpg,Flex-fuel,117,12,van,Automatic
GMC Terrain SUV 2012,05801.jpg,Gas,98,5,SUV,Automatic
GMC Yukon Hybrid SUV 2012,02179.jpg,Gas,95,8,SUV,Automatic
Geo Metro Convertible 1993,05976.jpg,Gas,40,2,Convertible,Manual
